STT | THT | Loại TB | 10_2025 | 01_2026 | 06_2026
* | Tây Ninh | L2SW | 845 | 846 | 838
1 | Bến Lức | L2SW | 127 | 131 | 130
2 | Đức Hòa | L2SW | 83 | 82 | 81
3 | Gò Dầu | L2SW | 185 | 186 | 185
4 | Kiến Tường | L2SW | 89 | 89 | 89
5 | Tân An | L2SW | 109 | 107 | 101
6 | Tân Châu | L2SW | 102 | 101 | 102
7 | Tân Ninh | L2SW | 150 | 150 | 150
